name,team,position,espn_id
Konrad Reuland,BAL,TE,14434
Kyle Pitts,ATL,TE,4360248
Kylen Granson,PHI,TE,4039160
Lawrence Cager,WAS,TE,3917849
Lucas Krull,DEN,TE,4360231
Luke Farrell,SFO,TE,4040612
Luke Lachey,HOU,TE,4432338
Luke Musgrave,GBP,TE,4428085
Luke Schoonmaker,DAL,TE,4372096
Manasseh Garner,BUF,TE,2515609
Marcedes Lewis,DEN,TE,9614
Marcel Jensen,WAS,TE,17183
Mark Andrews,BAL,TE,3116365
Mason Pline,NOS,TE,4911517
Mason Taylor,NYJ,TE,4808766
Matt Murphy,DEN,TE,14494
Matt Orzech,JAC,TE,4422336
Matt Sherry,CIN,TE,11441
Matt Sokol,LAC,TE,3121378
Matt Veldman,DET,TE,15318
Matthew Mulligan,DET,TE,11708
McCallan Castles,GBP,TE,4372741
Michael Egnew,PIT,TE,14903
Michael Higgins,NOS,TE,14400
Michael Matthews,BUF,TE,10806
Michael Mayer,LVR,TE,4429086
Mike Caussin,BUF,TE,13335
Mike Gesicki,CIN,TE,3116164
Mike Leach,ARI,TE,2482
Mike Sellers,CLE,TE,5527
Miller Forristall,LAR,TE,4040714
Mitchell Evans,CAR,TE,4683243
Mo Alie-Cox,IND,TE,2998565
Moliki Matavao,NOS,TE,4432731
Nate Adkins,DEN,TE,4383440
Nathan Overbay,TBB,TE,13785
Nick Kallerup,SEA,TE,4569547
Nick Muse,NYJ,TE,4249624
Nick O'Leary,LVR,TE,2576804
Nick Vannett,LAR,TE,2576399
Nikola Kalinic,CHI,TE,4916349
Noah Fant,CIN,TE,4036131
Noah Gray,KCC,TE,4240472
Oronde Gadsden,LAC,TE,4595342
Pat Freiermuth,PIT,TE,4361411
Payne Durham,TBB,TE,4372505
Pharaoh Brown,ARI,TE,2971281
Princeton Fant,DAL,TE,4242442
Quintin Morris,JAC,TE,4244049
Rashaun Allen,NOS,TE,17423
Rashod Berry,DET,TE,3915508
Richard Quinn,CIN,TE,12552
Rob Myers,WAS,TE,12546
Robert Tonyan,KCC,TE,2975674
Ross Dwelley,CAR,TE,3120303
Ryan Malleck,HOU,TE,2577892
Ryan O'Malley,OAK,TE,2566643
Ryan Otten,SDC,TE,16156
Sal Cannella,CLE,TE,4242536
Sam LaPorta,DET,TE,4430027
Scott Orndoff,CIN,TE,3045163
Sean McKeon,IND,TE,4036275
Shane Zylstra,DET,TE,4608362
Steven Scheu,DEN,TE,2577793
Stone Smartt,NYJ,TE,4250764
T.J. Hockenson,MIN,TE,4036133
Tanner Conner,NYG,TE,4047422
Tanner Hudson,CIN,TE,3050481
Tanner McLachlan,LAC,TE,4384171
Taysom Hill,NOS,TE,2468609
Teagan Quitoriano,ATL,TE,4374045
Terrance Ferguson,LAR,TE,4570037
Theo Johnson,NYG,TE,4429148
Thomas Fidone,NYG,TE,4590292
Tip Reiman,ARI,TE,4696700
Todd Yoder,WAS,TE,2402
Tom Crabtree,NOS,TE,13102
Tommy Hudson,TEN,TE,3675550
Tommy Tremble,CAR,TE,4372780
Tory Humphrey,NOS,TE,9450
Travis Kelce,KCC,TE,15847
Travis Vokolek,ARI,TE,4259324
Trey McBride,ARI,TE,4361307
Tucker Fisk,LAC,TE,4242558
Tucker Kraft,GBP,TE,4572680
Tyler Conklin,LAC,TE,3915486
Tyler Higbee,LAR,TE,2573401
Tyler Mabry,SEA,TE,3916587
Tyler Warren,IND,TE,4431459
Tyree Jackson,WAS,TE,3916564
Tyrone Swoopes,WAS,TE,3046705
Wes Saxton,WAS,TE,2972765
Wesley Walls,CAR,TE,10062
Will Dissly,LAC,TE,3127292
Will Mallory,IND,TE,4362523
Will Yeatman,HOU,TE,14513
Zach Davidson,NYG,TE,4746079
Zach Ertz,WAS,TE,15835
Zack Pianalto,TBB,TE,14567
Zaire Mitchell-Paden,NOS,TE,4876006
A.J. Brown,PHI,WR,4047646
A.J. Richardson,ARI,WR,3124369
